datetime,ph
5/21/24 9:50,8.03
5/21/24 9:55,8.06
5/21/24 10:00,8.01
5/21/24 10:05,8.06
5/21/24 10:10,8.03
5/21/24 10:15,8.05
5/21/24 10:20,8.06
5/21/24 10:25,8.03
5/21/24 10:30,8.01
5/21/24 10:35,8.01
5/21/24 10:40,8.05
5/21/24 10:45,8.03
5/21/24 10:50,8.04
5/21/24 10:55,8.02
5/21/24 11:00,8.04
5/21/24 11:05,8.03
5/21/24 11:10,8.04
5/21/24 11:15,8.03
5/21/24 11:20,8.57
5/21/24 11:25,8.58
5/21/24 11:30,8.6
5/21/24 11:35,8.62
5/21/24 11:40,8.64
5/21/24 11:45,8.68
5/21/24 11:50,8.71
5/21/24 11:55,8.73
5/21/24 12:00,8.77
5/21/24 12:05,8.8
5/21/24 12:10,8.83
5/21/24 12:15,8.85
5/21/24 12:20,8.87
5/21/24 12:25,8.89
5/21/24 12:30,8.92
5/21/24 12:35,8.94
5/21/24 12:40,8.95
5/21/24 12:45,8.96
5/21/24 12:50,8.97
5/21/24 12:55,8.98
5/21/24 13:00,9.01
5/21/24 13:05,9.03
5/21/24 13:10,9.05
5/21/24 13:15,9.07
5/21/24 13:20,9.09
5/21/24 13:25,9.11
5/21/24 13:30,9.1
5/21/24 13:35,9.12
5/21/24 13:40,9.15
5/21/24 13:45,9.18
5/21/24 13:50,9.2
5/21/24 13:55,9.22
5/21/24 14:00,9.23
5/21/24 14:05,9.16
5/21/24 14:10,9.15
5/21/24 14:15,9.16
5/21/24 14:20,9.18
5/21/24 14:25,8.38
5/21/24 14:30,8.76
5/21/24 14:35,8.73
5/21/24 14:40,8.71
5/21/24 14:45,8.69
5/21/24 14:50,8.69
